usuarios,grupo,senha
adolfo.carlos,DBA,AlterarSenha123456!
aguinaldo.balsemao,RedesAdmin,AlterarSenha123456!
alda.lage,CloudAdmin,AlterarSenha123456!
amelia.penteado,LinuxAdmin,AlterarSenha123456!
anacleto.abrantes,DBA,AlterarSenha123456!
angelino.marinho,DBA,AlterarSenha123456!
arachane.dinis,DBA,AlterarSenha123456!
armando.pirassununga,DBA,AlterarSenha123456!
astolfo.cerveira,DBA,AlterarSenha123456!
augusta.gusmao,DBA,AlterarSenha123456!
boaventura.trindade,DBA,AlterarSenha123456!
bras.vides,DBA,AlterarSenha123456!
bruna.muniz,DBA,AlterarSenha123456!
capitolina.garrido,DBA,AlterarSenha123456!
carina.salles,DBA,AlterarSenha123456!
caua.setubal,DBA,AlterarSenha123456!
celeste.moreira,DBA,AlterarSenha123456!
celso.torres,DBA,AlterarSenha123456!
cesar.matos,LinuxAdmin,AlterarSenha123456!
cleiton.frois,DBA,AlterarSenha123456!
cristiana.dornelles,DBA,AlterarSenha123456!
debora.ferreyra,LinuxAdmin,AlterarSenha123456!
deolindo.ourique,LinuxAdmin,AlterarSenha123456!
diamantino.raposo,LinuxAdmin,AlterarSenha123456!
donato.gama,LinuxAdmin,AlterarSenha123456!
doroteia.robalo,LinuxAdmin,AlterarSenha123456!
egas.malta,LinuxAdmin,AlterarSenha123456!
emiliana.bicudo,LinuxAdmin,AlterarSenha123456!
esperanca.carrasco,LinuxAdmin,AlterarSenha123456!
eudes.bogado,LinuxAdmin,AlterarSenha123456!
fausto.doutel,LinuxAdmin,AlterarSenha123456!
filipa.holanda,LinuxAdmin,AlterarSenha123456!
filipe.henriques,LinuxAdmin,AlterarSenha123456!
gil.pinhal,LinuxAdmin,AlterarSenha123456!
gilda.maior,LinuxAdmin,AlterarSenha123456!
giovana.carballo,LinuxAdmin,AlterarSenha123456!
glauber.feijo,LinuxAdmin,AlterarSenha123456!
glaucia.pitangui,LinuxAdmin,AlterarSenha123456!
godofredo.carvalhal,LinuxAdmin,AlterarSenha123456!
goncalo.balladares,LinuxAdmin,AlterarSenha123456!
graciano.vianna,LinuxAdmin,AlterarSenha123456!
gui.maior,LinuxAdmin,AlterarSenha123456!
guterre.milheiro,LinuxAdmin,AlterarSenha123456!
guterre.pastana,LinuxAdmin,AlterarSenha123456!
hedviges.velasquez,LinuxAdmin,AlterarSenha123456!
helena.acatauacu,LinuxAdmin,AlterarSenha123456!
hermigio.rosa,LinuxAdmin,AlterarSenha123456!
ibijara.capiperibe,RedesAdmin,AlterarSenha123456!
ifigenia.homem,RedesAdmin,AlterarSenha123456!
iracema.bento,RedesAdmin,AlterarSenha123456!
jandaira.escobar,RedesAdmin,AlterarSenha123456!
jeremias.paula,RedesAdmin,AlterarSenha123456!
lavinia.delgado,RedesAdmin,AlterarSenha123456!
ligia.palhares,RedesAdmin,AlterarSenha123456!
lino.belmonte,RedesAdmin,AlterarSenha123456!
lopo.camacho,RedesAdmin,AlterarSenha123456!
luisa.ramirez,RedesAdmin,AlterarSenha123456!
mario.briao,RedesAdmin,AlterarSenha123456!
melissa.queiroz,RedesAdmin,AlterarSenha123456!
mem.regueira,RedesAdmin,AlterarSenha123456!
morgana.valgueiro,RedesAdmin,AlterarSenha123456!
natalia.terra,RedesAdmin,AlterarSenha123456!
nazare.verissimo,RedesAdmin,AlterarSenha123456!
noe.betancour,RedesAdmin,AlterarSenha123456!
noemia.sarmento,RedesAdmin,AlterarSenha123456!
olavo.borges,RedesAdmin,AlterarSenha123456!
oliveira.sobral,RedesAdmin,AlterarSenha123456!
oriana.viveiros,RedesAdmin,AlterarSenha123456!
paraguacu.ipanema,RedesAdmin,AlterarSenha123456!
placido.medeiros,RedesAdmin,AlterarSenha123456!
porfirio.azenha,RedesAdmin,AlterarSenha123456!
potira.ferraco,RedesAdmin,AlterarSenha123456!
quiteria.xavier,RedesAdmin,AlterarSenha123456!
raquel.paredes,Estagiarios,AlterarSenha123456!
ruca.conde,Estagiarios,AlterarSenha123456!
salvador.vasquez,Estagiarios,AlterarSenha123456!
sancha.pino,Estagiarios,AlterarSenha123456!
sandro.alvarenga,Estagiarios,AlterarSenha123456!
sebastiana.peres,Estagiarios,AlterarSenha123456!
sebastiao.vasconcelos,Estagiarios,AlterarSenha123456!
severino.martins,Estagiarios,AlterarSenha123456!
sidonio.ramirez,Estagiarios,AlterarSenha123456!
simone.velasco,Estagiarios,AlterarSenha123456!
socorro.brum,Estagiarios,AlterarSenha123456!
sofia.siqueira,Estagiarios,AlterarSenha123456!
sonas.modesto,Estagiarios,AlterarSenha123456!
sonia.telles,Estagiarios,AlterarSenha123456!
teodorico.guilheiro,Estagiarios,AlterarSenha123456!
tobias.piraja,Estagiarios,AlterarSenha123456!
trajano.santanna,Estagiarios,AlterarSenha123456!
ubajara.guerreiro,Estagiarios,AlterarSenha123456!
vania.paredes,CloudAdmin,AlterarSenha123456!
vera.andrade,Estagiarios,AlterarSenha123456!
viriato.albernaz,Estagiarios,AlterarSenha123456!
xenia.peres,CloudAdmin,AlterarSenha123456!
zelia.ferrao,CloudAdmin,AlterarSenha123456!
zidane.espargosa,CloudAdmin,AlterarSenha123456!
zilda.pastana,CloudAdmin,AlterarSenha123456!
zulmira.paixao,CloudAdmin,AlterarSenha123456!
zuriel.losada,CloudAdmin,AlterarSenha123456!
